OnlineCustomerSurrogateKey,OnlineCustomerID,CustomerID,Title,FirstName,LastName,EmailPromotion,AddressLine1,City,PersonModifiedDate,AddressModifiedDate
0,299,29488,Sra.,Pilar,Ackerman,0,,,2009-05-16 16:33:33.090000000,
1,323,29499,Ms.,Amy,Alberts,1,,,2006-09-01 00:00:00,
2,341,29508,Mr.,Marvin,Allen,0,,,2005-12-01 00:00:00,
3,381,29528,Mr.,Stephen,Ayers,0,,,2006-09-01 00:00:00,
4,383,29529,Mr.,Phillip,Bacalzo,0,,,2007-09-01 00:00:00,
5,417,29541,,Gytis,Barzdukas,0,,,2005-11-01 00:00:00,
6,475,29561,,John,Berry,0,,,2007-08-01 00:00:00,
7,493,29569,Ms.,Linda,Burnett,2,,,2005-08-01 00:00:00,
8,517,29580,Mr.,Richard,Bready,0,,,2005-07-01 00:00:00,
9,533,29587,Mr.,John,Brooks,0,,,2006-07-01 00:00:00,
10,539,29590,Mr.,Jo,Brown,1,,,2006-08-01 00:00:00,
11,543,29592,Mr.,Kevin,Browne,1,,,2005-09-01 00:00:00,
12,557,29599,Ms.,Shirley,Bruner,2,,,2006-07-01 00:00:00,
13,565,29603,Sra.,Janaina Barreiro Gambaro,Bueno,1,,,2007-09-01 00:00:00,
14,567,29604,Mr.,Edward,Buensalido,0,,,2006-07-01 00:00:00,
15,573,29606,Ms.,Karren,Burkhardt,0,,,2005-07-01 00:00:00,
16,581,29609,Mr.,Stephen,Burton,0,,,2007-08-01 00:00:00,
17,583,29610,Ms.,Deanna,Buskirk,1,,,2005-07-01 00:00:00,
18,607,29620,Ms.,Joan,Campbell,0,,,2005-08-01 00:00:00,
19,615,29624,Mr.,Joseph,Cantoni,0,,,2005-08-01 00:00:00,
20,617,29625,Ms.,Suzana De Abreu,Canuto,2,,,2007-09-01 00:00:00,
21,633,29633,Mr.,Steve,Carnes,2,,,2006-08-01 00:00:00,
22,643,29638,Ms.,Rosmarie,Carroll,0,,,2007-09-01 00:00:00,
23,675,29652,Mr.,Neil,Charney,2,,,2007-09-01 00:00:00,
24,691,29658,Mr.,Mike,Choi,0,,,2006-07-01 00:00:00,
25,699,29662,Ms.,Jill,Christie,0,,,2006-08-01 00:00:00,
26,707,29666,Ms.,Jane,Clayton,0,,,2007-08-01 00:00:00,
27,725,29674,Mr.,Scott,Colvin,2,,,2005-12-01 00:00:00,
28,751,29685,Ms.,Pamela,Cox,1,,,2005-09-01 00:00:00,
29,765,29691,Mr.,Jose,Curry,0,,,2006-08-01 00:00:00,
30,785,29701,Mr.,Kirk,DeGrasse,0,,,2006-09-01 00:00:00,
31,809,29713,Mr.,Dick,Dievendorff,2,,,2007-08-01 00:00:00,
32,857,29737,Mr.,John,Emory,1,,,2007-07-01 00:00:00,
33,869,29742,Ms.,Twanna,Evans,2,,,2005-08-01 00:00:00,
34,885,29750,Ms.,Rhoda,Finley,0,,,2006-09-01 00:00:00,
35,907,29761,Ms.,Susan,French,0,,,2005-07-01 00:00:00,
36,935,29774,Mr.,Darren,Gehring,1,,,2005-08-01 00:00:00,
37,949,29781,Mr.,Guy,Gilbert,0,,,2006-09-01 00:00:00,
